inproceedings:ID,author:string[],booktitle:string,crossref:string[],editor:string[],ee:string[],key:string,number:string,pages:string,title:string,volume:int,year:int,corresponding_author,doi,keywords
239420,Jim Hendler,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323764|https://doi.org/10.1145/323779.323764,journals/sigplan/Hendler86a,,185,Run-time enhancements for object-oriented programming.,,1986,Jim Hendler,https://doi.org/10.1145/323648.323764|https://doi.org/10.1145/323779.323764,data processing|objectoriented|runtime|programming|enhancements
239430,Ole-Johan Dahl,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323761|https://doi.org/10.1145/323779.323761,journals/sigplan/Dahl86,,184,Object-oriented specification (abstract only).,,1986,Ole-Johan Dahl,https://doi.org/10.1145/323648.323761|https://doi.org/10.1145/323779.323761,objectoriented|specification|abstract
239432,John Van Rosendale|Piyush Mehrotra,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67396|https://doi.org/10.1145/67387.67396,journals/sigplan/MehrotraR89,,40-42,Concurrent object access in BLAZE 2.,,1988,John Van Rosendale,https://doi.org/10.1145/67386.67396|https://doi.org/10.1145/67387.67396,blaze|concurrent|data modeling|object|2|access
239470,Peter Wegner,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323757|https://doi.org/10.1145/323779.323757,journals/sigplan/Wegner86,,173-182,Classification in object-oriented systems.,,1986,Peter Wegner,https://doi.org/10.1145/323648.323757|https://doi.org/10.1145/323779.323757,objectoriented|systems|classification
239484,Dimitris Christodoulakis,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67430|https://doi.org/10.1145/67387.67430,journals/sigplan/Christodoulakis89,,156-158,Modeling the semantics of smalltalk-80 with Petri nets.,,1988,Dimitris Christodoulakis,https://doi.org/10.1145/67386.67430|https://doi.org/10.1145/67387.67430,petri|smalltalk80|semantics|nets|modeling
239498,Gail E. Kaiser,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67424|https://doi.org/10.1145/67387.67424,journals/sigplan/Kaiser89a,,136-138,Transactions for concurrent object-oriented programming systems.,,1988,Gail E. Kaiser,https://doi.org/10.1145/67386.67424|https://doi.org/10.1145/67387.67424,objectoriented|data management|concurrent|programming|systems|transactions
239505,Boris Magnusson,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67394|https://doi.org/10.1145/67387.67394,journals/sigplan/Magnusson89,,34-36,Process oriented programming.,,1988,Boris Magnusson,https://doi.org/10.1145/67386.67394|https://doi.org/10.1145/67387.67394,oriented|programming|process
239522,Mario Tokoro|Yutaka Ishikawa,OOPWORK,conf/oopwork/1986,,https://doi.org/10.1145/323648.323741|https://doi.org/10.1145/323779.323741,journals/sigplan/TokoroI86,,39-48,Concurrent programming in Orient84/K: an object-oriented knowledge representation language.,,1986,Mario Tokoro,https://doi.org/10.1145/323648.323741|https://doi.org/10.1145/323779.323741,representation|language|objectoriented|knowledge|concurrent|orient84k|programming
239584,Mario Tokoro|Shinichi Ochiai|Tatsuo Nagamatsu|Tatsuo Nakajima|Yasuhiko Yokote,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67397|https://doi.org/10.1145/67387.67397,journals/sigplan/NakajimaYTON89,,43-45,Distributed concurrent smalltalk: a language and system for the interpersonal environment.,,1988,Mario Tokoro,https://doi.org/10.1145/67386.67397|https://doi.org/10.1145/67387.67397,environment|distributed|concurrent|smalltalk|language|interpersonal|system
239591,Jan van den Bos,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67428|https://doi.org/10.1145/67387.67428,journals/sigplan/Bos89,,149-151,PROCOL: a protocol-constrained concurrent object-oriented language.,,1988,Jan van den Bos,https://doi.org/10.1145/67386.67428|https://doi.org/10.1145/67387.67428,protocolconstrained|objectoriented|concurrent|procol|data modeling|language
239605,John F. Koegel,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67420|https://doi.org/10.1145/67387.67420,journals/sigplan/Koegel89,,123-125,Parallel objects on distributed constraint logic programming machines.,,1988,John F. Koegel,https://doi.org/10.1145/67386.67420|https://doi.org/10.1145/67387.67420,parallel|distributed|machines|indexing|logic|constraint|programming|objects
239630,Thomas W. Christopher,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67405|https://doi.org/10.1145/67387.67405,journals/sigplan/Christopher89,,76-78,Message driven computing and its relationship to actors.,,1988,Thomas W. Christopher,https://doi.org/10.1145/67386.67405|https://doi.org/10.1145/67387.67405,message|computing|driven|actors|relationship|data storage
239640,Mehdi Jazayeri,OOPSLA/ECOOP Workshop on Object-based Concurrent Programming,conf/oopsla/1988ocp,,https://doi.org/10.1145/67386.67418|https://doi.org/10.1145/67387.67418,journals/sigplan/Jazayeri89,,117-119,Objects for distributed systems.,,1988,Mehdi Jazayeri,https://doi.org/10.1145/67386.67418|https://doi.org/10.1145/67387.67418,systems|distributed|objects|data storage
