author_list,crossref:string[],publish_count
Antonia Bertolino,conf/tacos/2003,2
Mario Tokoro,conf/oopsla/1990ocp,2
Mario Tokoro,conf/oopsla/1988ocp,2
Christopher Anderson,conf/wood/2003,2
Antonio Cerone,conf/icfem/2006fmis,2
Norman Ramsey,conf/ml/2005,2
Ugo Montanari,conf/express/1997,2
Antonio Brogi,conf/foclasa/2004,2
Antonio Brogi,conf/foclasa/2002,2
Ugo Montanari,conf/hoots/1997,2
Ugo Montanari,conf/lipari/2001concoord,2
Robert Rettinger,conf/cca/2008,2
Jos C. M. Baeten,conf/apc25/2005,2
Anita Schöbel,conf/atmos/2001,2
Valeria de Paiva,conf/imla/2013,2
Robert D. Tennent,conf/mfps/1995,2
Vasco Brattka,conf/cca/2002,2
Vasco Brattka,conf/cca/2004,2
Glynn Winskel,conf/mfps/2013,2
Vasco Brattka,conf/cca/2008,2
Maria O'Keeffe,conf/mfcsit/2002,2
Glynn Winskel,conf/birthday/2007plotkin,2
Marina Lenisa,conf/cmcs/2000,2
Oleg Sokolsky,conf/rv/2005,2
Robert Rettinger,conf/cca/2004,2
Uwe Aßmann,conf/soco/2003,2
Uwe Aßmann,conf/soco/2004,2
Ohad Shacham,conf/bmc/2005,2
Olaf Burkart,conf/infinity/1996,2
Graeme Smith 0001,conf/refine/2007,2
Grady Booch,conf/oopsla/1994a,2
Maribel Fernández,conf/wrs/2006,2
Jonas Lundberg,conf/soco/2003,2
Maribel Fernández,conf/lsfa/2014,2
Gordon D. Plotkin,conf/mfps/2013,2
Oleg Sokolsky,conf/rv/2002,2
Ti Zhou,conf/fics2/2008,2
Shiro Takata,conf/clima/2002,2
Sean McLaughlin,conf/smt/2005,2
Sebastian Kerkhoff,conf/wact/2013,2
Sebastian Fischer 0001,conf/wflp/2006,2
Sebastian Buchwald,journals/corr/abs-1111-4407,2
Stephen D. Brookes,conf/mfps/1997,2
Stephen D. Brookes,conf/mfps/1999,2
Stephen D. Brookes,conf/mfps/2001,2
Stephen D. Brookes,conf/mfps/2006,2
Hitoshi Omori,journals/corr/abs-2204-06359,2
Stephen A. Jarvis,conf/ukpew/2017,2
Ian Mackie,conf/termgraph/2009,2
Stephen Gilmore,conf/pasm/2014,2
Carlos Canal,conf/wcat/2006,2
Carlos Canal,conf/foclasa/2006,2
Carlos Canal,conf/foclasa/2005,2
Carlos Olarte,conf/lsfa/2016,2
Carlos Camarão 0001,conf/ffss/1997,2
Horatiu Cirstea,conf/wrla/2004,2
Ian Mackie,conf/termgraph/2004,2
Serge Autexier,conf/uitp/2008,2
Serge Autexier,conf/uitp/2006,2
Serge Autexier,conf/strategies/2001,2
Michael Huth,conf/avocs/2007,2
Carsten Schürmann,conf/lfm/2004,2
César A. Muñoz,conf/strategies/2006,2
Honna Segel,conf/oopsla/1995a,2
Michael Hanus,conf/wflp/2002,2
Dag Normann,conf/domains/1998,2
Carolyn L. Talcott,conf/wrla/2004,2
Carolyn L. Talcott,conf/wrla/2002,2
Sebastián Jaramillo-Riveri,conf/sasb/2012,2
Michael Franz,conf/cocv/2005,2
Stephan Flake,conf/uml/2003ocl,2
Mohammad Reza Mousavi 0001,conf/sos/2005,2
Carlos Canal,conf/facs2/2007,2
Damien Woods,journals/corr/NearyC13,2
Steven Fraser 0001,conf/oopsla/1994a,2
Steven Fraser 0001,conf/oopsla/1995a,2
C.-H. Luke Ong,conf/ctcs/1999,2
Mortaza S. Bargh,conf/stm/2007,2
Jan J. M. M. Rutten,conf/cmcs/1998,2
Daniel Cabeza Gras,conf/iclp/1999pitlp,2
Burkhart Wolff,conf/fmics/2003,2
Saso Dzeroski,conf/mlsb/2009,2
Bunthit Watanapa,conf/inns-wc/2012,2
Ian Mackie,conf/wrs/2006,2
Muck van Weerdenburg,conf/sos/2008,2
Calogero G. Zarba,conf/ftp/2003,2
Stephen T. Gilmore,conf/pasm/2005,2
Dan Hirsch,conf/gtvmt/2004,2
Mengjun Li,conf/fics2/2008,2
Montek Singh,conf/fmgals/2005,2
Hiroshi Motoda,conf/pakdd/2010fsdm,2
Hiroshi Motoda,conf/acml/2011,2
Dan R. Ghica,conf/mfps/2012,2
Steve Reeves,conf/refine/2008,2
Moonjoo Kim,conf/rv/2002,2
Steven A. Wright 0001,conf/ukpew/2017,2
Dana S. Scott,conf/floc/1999rsa,2
Camillo Fiorentini,conf/clase/2005,2
Moreno Falaschi,conf/wflp/2003,2
Steven Eker,conf/wrla/1996,2
Cong Tian,conf/ttss/2013,2
Simona Ronchi Della Rocca,conf/itrs/2004,2
Colin J. Fidge,conf/cats/2001,2
Mirko Viroli,conf/foclasa/2003,2
Ivana Cerná,conf/pdmc/2008,2
Mirko Viroli,conf/foclasa/2006,2
Sophia Drossopoulou,conf/wood/2003,2
Huibiao Zhu,conf/ttss/2013,2
Chirine Ghedira,conf/context/2005cws,2
Michael W. Mislove,conf/mfps/1999,2
Christel Baier,conf/qapl/2005,2
Michel Wermelinger,conf/gg/2002sett,2
Christian Skalka,conf/mpc/2002tip,2
Christian Nolasco,conf/clei/2017s,2
Michel P. Schellekens,conf/mfcsit/2004,2
Isabelle Guyon,conf/icml/2011utl,2
Michel A. Reniers,conf/sos/2005,2
Mireille Ducassé,conf/lpe/1999,2
Clemens Kupke,conf/cmcs/2004,2
Clemens Kupke,conf/cmcs/2008,2
Héctor Cancela,conf/clei/2015s,2
Sofiène Tahar,conf/fmws/2008,2
Sofiène Tahar,journals/corr/BouhoulaIK13,2
Shangping Ren,conf/foclasa/2008,2
Chris Laffra,conf/oopsla/1990ocp,2
Ian Mackie,conf/termgraph/2002,2
Mohamed Fayad,conf/oopsla/1993a,2
Claudia Ermel,conf/unigra/2001,2
Stefan Milius,conf/cmcs/2004,2
Michael Leuschel,conf/iclp/1999woid,2
Howard Bowman,conf/forte/2000fme,2
Stefan Milius,conf/ctcs/2002,2
Howard A. Blair,conf/mfcsit/2000,2
Sergio E. R. de Carvalho,conf/ffss/1997,2
Sergey Verlan,journals/corr/abs-0906-4612,2
Hsuan-Tien Lin,conf/acml/2011,2
Michael J. Wooldridge,conf/lcmas/2003,2
Jaco van de Pol,conf/ifm/2005ds,2
Catuscia Palamidessi,conf/mfps/2009,2
Jaco van de Pol,conf/pdmc/2007,2
Jaco van de Pol,conf/pdmc/2008,2
Horst Reichel,conf/cmcs/1998,2
Sergio Rajsbaum,conf/getco/2010,2
Corrado Priami,conf/concur/2003bio,2
Corrado Priami,conf/icalp/2006mecbic,2
Huan Liu 0001,conf/pakdd/2010fsdm,2
Stefan Blom,conf/fmics/2003,2
Stefan Blom,conf/pdmc/2003,2
Stefan Edelkamp,conf/mochart/2005,2
J. Robin B. Cockett,conf/mfps/2010,2
J. Robin B. Cockett,conf/mfps/2016,2
J. Robin B. Cockett,conf/mfps/2018,2
Sergio Yovine,conf/etaps/2002tpts,2
Christoph Benzmüller,conf/uitp/2006,2
Bruce Anderson,conf/oopsla/1993a,2
Masahiro Kimura,conf/acml/2011,2
Jens Chr. Godskesen,conf/express/2008,2
Masahiko Sakai,conf/wrs/2007,2
David Lorge Parnas,conf/relmis/2001,2
Mila Dalla Preda,conf/nsad/2016,2
Andrea Omicini,conf/agp/2000,2
David M. Ungar,conf/oopsla/1994a,2
Thierry Boy de la Tour,conf/strategies/2004,2
María Alpuente,conf/rule/2003,2
Masashi Sugiyama,conf/acml/2010,2
David J. Pym,conf/cade/2000ttlpss,2
Beatriz Alarcón,conf/prole/2006,2
Christoph Lüth,conf/uitp/2003,2
Jean-Pierre Briot,conf/oopsla/1988ocp,2
David Déharbe,conf/sbmf/2005,2
Harald C. Gall,conf/gg/2004setra,2
Tassilo Horn,journals/corr/abs-1111-4407,2
Sabine Glesner,conf/cocv/2004,2
Tayssir Touili,conf/infinity/2006-07-08,2
Jeffrey O. Shallit,journals/corr/abs-1108-3412,2
Clark W. Barrett,conf/smt/2004,2
Bart Jacobs 0001,conf/cmcs/1998,2
Ruth Dillhage,conf/cca/2007,2
Ruth Dillhage,conf/cca/2006,2
David W. Matula,conf/realcomp/1998,2
Jesús Manuel Almendros-Jiménez,conf/prole/2011,2
Jesús Medina 0001,conf/icalp/2002uncl,2
Nicholas Nethercote,conf/rv/2003,2
Martin Zimmermann 0002,journals/corr/abs-1210-2028,2
Jian Guo 0005,conf/ttss/2013,2
Martin Pollet,conf/calculemus/2005,2
Martin Pinzger 0001,conf/gg/2004setra,2
Rudy Setiono,conf/pakdd/2010fsdm,2
Martin Leucker,conf/pdmc/2004,2
Jeremy T. Bradley,conf/pasm/2005,2
Bastian Schlich,conf/ssv/2008,2
Neil Ghani,conf/cmcs/2006,2
Thomas Bolander,conf/hylo/2006,2
Bas Luttik,journals/corr/abs-2008-12414,2
Jeroen Ketema,conf/wrs/2004,2
Nello Cristianini,conf/wapa/2010,2
David Safránek,conf/sasb/2016,2
Bart Jacobs 0001,conf/mfps/2019,2
Bart Jacobs 0001,conf/mfps/2016,2
Bart Jacobs 0001,conf/mfps/2013,2
Bart Jacobs 0001,conf/cmcs/2010,2
Bernhard K. Aichernig,conf/mbt/2009,2
Tanja Grubba,conf/cca/2007,2
Myla Archer,conf/strategies/2006,2
Sandeep K. Shukla,conf/fmgals/2005,2
Matthieu Martel,conf/nsv/2015,2
Shinya Sato,conf/termgraph/2009,2
Sylvain Lippi,conf/termgraph/2007,2
Bob Coecke,conf/qpl/2006,2
Samson Abramsky,conf/mfps/2009,2
Heiko Koziolek,conf/fesca/2009,2
Herbert Wiklicky,conf/qapl/2001,2
Brigitte Pientka,conf/lfmtp/2007,2
Mauro Ferrari 0002,conf/clase/2005,2
Santiago Escobar 0001,conf/rule/2003,2
Sanjeevi Krishnan,conf/mfps/2010,2
Brad Balfour,conf/oopsla/1993a,2
Mauricio Osorio 0001,conf/lanmr/2014s,2
Jane Hillston,conf/fbtc/2008,2
Jane Hillston,conf/pasm/2012,2
Mauricio Ayala-Rincón,conf/wollic/2002,2
Sandro Etalle,conf/iclp/2003svv,2
Sandro Etalle,conf/iclp/1999vlp,2
Bert Lisser,conf/pdmc/2007,2
Naoki Nishida 0001,journals/corr/abs-1902-07818,2
Hartmut Ehrig,conf/accat/2007,2
Simon L. Peyton Jones,conf/haskell/2000,2
David Aspinall 0001,conf/uitp/2003,2
Matt Kaufmann,journals/corr/VerbeekS14,2
Jean-Marie Favre,conf/atem/2004,2
Naoyuki Nide,conf/clima/2002,2
Naoyuki Tamura,conf/iclp/1999pitlp,2
Jean-Marie Jacquet,conf/foclasa/2003,2
Jean-Marie Jacquet,conf/foclasa/2004,2
Matteo Cavaliere,conf/icalp/2006mecbic,2
Salvador Lucas,conf/prole/2006,2
Salvador Lucas,conf/rule/2003,2
Sam Staton,conf/mfps/2018,2
Sam Shiel,conf/bytecode/2005,2
Matthew Forshaw,conf/ukpew/2014,2
Jean Goubault-Larrecq,conf/isdt/2019,2
T. S. E. Maibaum,journals/corr/AguirreR14,2
Tadashi Araragi,conf/clima/2002,2
Salvador Lucas,conf/wflp/2002,2
Steffen van Bakel,conf/itrs/2002,2
Yurii Rogozhin,journals/corr/abs-0906-4612,2
Agustin Riscos-Núñez,conf/icalp/2006mecbic,2
Frank S. de Boer,conf/cotic/1998,2
Ah-Hwee Tan,conf/inns-wc/2012,2
Ralf Lämmel,conf/ldta/2002,2
Erik Meijer 0001,conf/haskell/2000,2
Patrik Eklund,conf/icalp/2002uncl,2
Frank S. de Boer,conf/uml/2003cvuml,2
Agostino Dovier,conf/agp/2000,2
Agostino Cortesi,conf/vmcai/2005aiool,2
M. Oliver Möller,conf/etaps/2002tpts,2
Jörg Brauer,conf/ssv/2009,2
Peter D. Mosses,conf/ldta/2004,2
Eric Roberts,conf/iticse/1999wgr,2
Wolfram Kahl,conf/relmis/2001,2
Ernesto Pimentel 0001,conf/prole/2007,2
Luís Soares Barbosa,conf/facs2/2005,2
Fausto Spoto,conf/bytecode/2009,2
Fausto Giunchiglia,conf/calculemus/1999,2
